Sample_ID,Window_ID,Timestamp_s,AccX_g,AccY_g,AccZ_g,Activity
1,W00001,0.0,0.0332,0.0847,0.9892,Standing
2,W00001,0.05,0.1262,0.0793,0.9861,Standing
3,W00001,0.1,0.0257,0.0456,0.9758,Standing
4,W00001,0.15,0.0225,0.1042,0.9594,Standing
5,W00001,0.2,0.0932,0.087,0.9519,Standing
6,W00001,0.25,0.0342,0.1267,0.9598,Standing
7,W00001,0.3,0.0221,0.081,0.9684,Standing
8,W00001,0.35,0.0754,0.0364,0.936,Standing
9,W00001,0.4,0.0368,0.0922,1.0005,Standing
10,W00001,0.45,0.0347,0.1479,0.993,Standing
11,W00001,0.5,0.0474,0.0873,0.9941,Standing
12,W00001,0.55,0.0518,0.074,0.9509,Standing
13,W00001,0.6,0.0768,0.0667,0.9877,Standing
14,W00001,0.65,0.0549,0.0728,1.0227,Standing
15,W00001,0.7,0.0624,0.0969,1.0087,Standing
16,W00001,0.75,0.0529,0.0721,0.9651,Standing
17,W00001,0.8,0.0914,0.1537,0.9671,Standing
18,W00001,0.85,0.0702,0.1014,0.9792,Standing
19,W00001,0.9,0.0706,0.1139,1.0422,Standing
20,W00001,0.95,0.0362,0.1544,0.9924,Standing
21,W00001,1.0,0.0936,0.1566,0.9534,Standing
22,W00001,1.05,0.105,0.105,0.979,Standing
23,W00001,1.1,0.026,0.121,1.0129,Standing
24,W00001,1.15,0.0632,0.1324,0.933,Standing
25,W00001,1.2,-0.0036,0.1036,1.0303,Standing
26,W00001,1.25,0.0592,0.0549,0.9768,Standing
27,W00001,1.3,-0.0057,0.1265,0.9921,Standing
28,W00001,1.35,0.0477,0.1321,1.0122,Standing
29,W00001,1.4,0.0704,0.116,0.9536,Standing
30,W00001,1.45,0.0709,0.074,0.952,Standing
31,W00001,1.5,0.0706,0.094,0.974,Standing
32,W00001,1.55,-0.007,0.0803,0.9607,Standing
33,W00001,1.6,0.0325,0.0872,0.9406,Standing
34,W00001,1.65,-0.0115,0.1334,0.9677,Standing
35,W00001,1.7,0.078,0.1388,1.0581,Standing
36,W00001,1.75,-0.0022,0.1116,1.0249,Standing
37,W00001,1.8,0.0128,0.1069,1.0095,Standing
38,W00001,1.85,-0.0334,0.1098,0.9489,Standing
39,W00001,1.9,0.0116,0.0885,0.9629,Standing
40,W00001,1.95,0.0786,0.0863,0.9615,Standing
41,W00001,2.0,0.0151,0.0684,0.9368,Standing
